iterations,expected value,max steps,time
854,-233.5,241,0.0
855,-160.0,260,0.0
856,-221.4,172,0.0
857,-251.7,724,0.0
858,-178.7,275,0.0
859,-290.1,275,0.0
860,-266.3,179,0.0
861,-241.5,247,0.0
862,-242.8,169,0.0
863,-248.6,300,0.0
864,-259.3,309,0.0
865,-219.4,385,0.0
866,-218.1,186,0.0
867,-179.2,248,0.0
868,-293.2,237,0.0
869,-197.4,245,0.0
870,-198.5,165,0.0
871,-210.4,168,0.0
872,-176.3,196,0.0
873,-187.3,207,0.0
874,-163.2,175,0.0
875,-198.0,167,0.0
876,-185.8,280,0.0
877,-186.1,196,0.0
878,-206.8,187,0.0
879,-206.2,262,0.0
880,-211.5,169,0.0
881,-242.4,172,0.0
882,-204.0,150,0.0
883,-249.1,176,0.0
884,-176.3,161,0.0
885,-196.4,190,0.0
886,-211.8,253,0.0
887,-197.0,190,0.0
888,-198.5,214,0.0
889,-211.7,180,0.0
890,-219.0,122,0.0
891,-252.7,126,0.0
892,-187.6,138,0.0
893,-432.1,141,0.0
894,-185.7,210,0.0
895,-208.1,196,0.0
896,-182.8,218,0.0
897,-243.4,167,0.0
898,-193.5,173,0.0
899,-216.5,164,0.0
900,-202.2,374,0.0
901,-221.4,250,0.0
902,-188.7,249,0.0
903,-186.8,161,0.0
904,-180.5,144,0.0
905,-228.6,367,0.0
906,-238.8,294,0.0
907,-349.6,162,0.0
908,-199.4,177,0.0
909,-185.5,162,0.0
910,-230.6,182,0.0
911,-170.1,173,0.0
912,-184.9,267,0.0
913,-183.1,265,0.0
914,-221.1,304,0.0
915,-256.5,259,0.0
916,-194.1,148,0.0
917,-225.0,157,0.0
918,-174.3,192,0.0
919,-189.4,186,0.0
920,-159.5,149,0.0
921,-173.3,165,0.0
922,-186.1,176,0.0
923,-225.4,183,0.0
924,-217.6,146,0.0
925,-205.2,153,0.0
926,-191.6,189,0.0
927,-185.8,166,0.0
928,-206.0,194,0.0
929,-202.6,180,0.0
930,-196.0,174,0.0
931,-207.4,211,0.0
932,-193.7,125,0.0
933,-174.7,215,0.0
934,-175.3,140,0.0
935,-168.2,149,0.0
936,-231.0,126,0.0
937,-180.9,191,0.0
938,-200.5,160,0.0
939,-200.1,131,0.0
940,-185.7,153,0.0
941,-172.4,165,0.0
942,-166.2,139,0.0
943,-176.1,140,0.0
944,-181.9,144,0.0
945,-182.8,150,0.0
946,-242.3,194,0.0
947,-263.2,252,0.0
948,-204.1,222,0.0
949,-226.0,144,0.0
950,-254.2,148,0.0
951,-272.8,148,0.0
952,-213.8,174,0.0
953,-195.3,283,0.0
954,-205.7,277,0.0
955,-193.4,293,0.0
956,-223.3,551,0.0
957,-259.0,250,0.0
958,-189.6,176,0.0
959,-238.8,234,0.0
960,-254.7,136,0.0
961,-214.1,151,0.0
962,-190.4,205,0.0
963,-218.6,197,0.0
964,-254.9,181,0.0
965,-279.6,184,0.0
966,-225.2,179,0.0
967,-190.8,150,0.0
968,-196.7,185,0.0
969,-223.9,162,0.0
970,-200.4,199,0.0
971,-220.3,132,0.0
972,-201.8,127,0.0
973,-228.6,202,0.0
974,-399.8,169,0.0
975,-211.4,150,0.0
976,-171.0,123,0.0
977,-163.4,141,0.0
978,-194.5,136,0.0
979,-201.2,113,0.0
980,-177.6,242,0.0
981,-194.4,167,0.0
982,-290.0,184,0.0
983,-265.7,170,0.0
984,-183.6,163,0.0
985,-215.2,150,0.0
986,-220.3,249,0.0
987,-195.7,130,0.0
988,-234.1,149,0.0
989,-268.7,266,0.0
990,-219.8,157,0.0
991,-277.2,173,0.0
992,-182.5,120,0.0
993,-196.3,141,0.0
994,-225.7,262,0.0
995,-199.1,150,0.0
996,-173.8,126,0.0
997,-178.2,153,0.0
998,-203.4,173,0.0
999,-244.0,175,0.0
